id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20,Área de texto 21,Área de texto 22,Área de texto 23,Área de texto 24,Área de texto 25,Área de texto 26,Área de texto 27,Área de texto 28,Área de texto 29,Área de texto 30,Área de texto 31,Área de texto 32,Área de texto 33,Área de texto 34,Área de texto 35,Área de texto 36,Área de texto 37,Área de texto 38,Área de texto 39,Área de texto 40,Área de texto 41,Área de texto 42,Área de texto 43
1,Página,,,,,,,,,Diagrama ER de base de datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Entidad,Relación entre entidades,1,,,,,,,Personas,personaName,Se almacena el nombre o nombres de la persona que se registra,"Cadena de caracteres Alfanumérico, máximo 40 caracteres",personLn1,"Se almacena el apellido paterno de la persona registrada, el campo puede ser NULL","Cadena de caracteres Alfanumérico, máximo 40 caracteres",personLn2,"Se almacena el apellido materno de la persona registrada, el campo puede ser NULL","Cadena de caracteres Alfanumérico, máximo 40 caracteres",personSexo,Se almacena el sexo de la persona registrada,"Este elemento solo puede tener dos opciones de dato: Masculino, femenino ",personEdociv,Se almacena el estado civil legal de la persona que se registra,"Solo puede tener las opciones: Soltero, Casado, Divorciado, Viudo",personFN,Se almacena la fecha de nacimiento de la persona que se registra,Fecha sin hora,personLN,Se almacena el lugar de nacimiento,Entero Llave foránea de Ciudades,personNac,Se almacena la nacionalidad de la persona que se registra,Solo pueden ser dos datos: Mexicana o Extranjero,personCurp,"Se almacena la CURP de la persona que se registra, en caso de ser extranjero se anexa un permiso de trabajo  como documento y su DNI del país de nacionalidad",Cadena de caracteres alfanuméricos de un tamaño máximo es 25 caracteres,personActivo,Se almacena si la persona registrada esta activa o inactiva,"Valor Booleano, solo Verdadero(1) o Falso (0)",personaId,"Identificador de cada registro, clave principal ",Entero Autoincrementable Llave primaria,personFoto,"Se almacena el id de la foto de la persona, una persona solo puede tener una foto",Entero Llave foránea de Fotografias,personCreate,Se almacena la fecha de creación del registro ,Fecha y hora,activo,"Se al,acena si la persona se encuentra activa  inactiva en la Universidad","Bit (0- Inactivo, 1-Activo)"
3,Entidad,Relación entre entidades,1,,,,,,,Documentos,dctoId,Se almacena el identificador de cada documento,Entero Autoincrementable Llave primaria,dctoName,"Se almacena el nombre del documento, el cual se compone del tipo y la clave de la persona",Cadena de caracteres alfanuméricos de un tamaño de 35 caracteres como máximo,dctoDesc,Se almacena la descripción del documento que se esta registrando,Cadena de caracteres alfanumérica de máximo 500 caracteres,dctoUrl,"Se almacena la Url de la ubicación del documento, la cual se compone de, id de la persona y fecha de creación del mismo",Cadena de caracteres alfanumérica de máximo 50 caracteres,personId,"Es el campo que relaciona la persona con su documento, una persona puede tener muchos documentos",Entero Llave foránea de Personas,tdctoId,Esl el campo que relaciona el documento con su tipo,Entero Llave foránea de TipoDocumento,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,
4,Entidad,Relación entre entidades,1,,,,,,,Telefonos,telId,Se almacena el identificador del registro de telefono,Entero Autoincrementable Llave primaria,telNum,Se almacena el número de telefono de la persona,Cadena de caracteres numéricos [0000000000-9999999999],telTipo,"Se almacena el tipo de teléfono que se registra, solo pueden ser: Casa, Celular, Oficina",Cadena de caracteres alfanumericos de un tamaño máximo de 10 caracteres,personId,"Es el campo que se relaciona con la tabla personas, una persona puede tener varios teléfonos",Entero Llave foránea de Personas,extension,Se almacena la extensión en caso de tener,Cadena de caractres alfanuméricos de máximo 5 caracteres,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,
5,Entidad,Relación entre entidades,1,,,,,,,TipoDocumento,tdctoId,Se almacena el  identificador de cada uno de los tipos de documentos,Entero Autoincrementable Llave primaria,tdName,"Se almacena el nombre del tipo de documento, ejemplo: ""Acta de Nacimiento""",Cadena de caracteres alfanumérica de máximo 30 caracteres,tdDesc,Se almacena la descripción del tipo de documento,Cadena de caracteres alfanumérica de máximo 500 caracteres,createdDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Entidad,Relación entre entidades,1,,,,,,,Emails,mailId,Se almacena el identificador del registro de correo electrónico,Entero Autoincrementable Llave primaria,email,Se almacena el correo electrónico de la persona,Correo electrónico,mailTipo,"Se almacena el tipo de correo electrónico que se registra, solo pueden ser: Personal, Escolar, Trabajo",Cadena de caracteres alfanumericos de un tamaño máximo de 10 caracteres,personId,"Es el campo que se relaciona con la tabla personas, una persona puede tener varios correos electrónicos",Entero Llave foránea de Personas,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Entidad,Relación entre entidades,1,,,,,,,Fotografias,fotoId,Se almacena el identificador del registro de fotografías,Entero Autoincrementable Llave primaria,fotoUrl,Se almacena la url de la fotografía,Cadena de caracteres alfanuméricos con un tamaño máximo de 30 caracteres ,fotoName,se almacena el nombre de la foto con todo y extensión de tipo,Cadena de caracteres alfanumericos de un tamaño máximo de 20 caracteres,personId,"Es el campo que se relaciona con la tabla personas, una persona puede tener varios teléfonos",Entero Llave foránea de Personas,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Entidad,Relación entre entidades,1,,,,,,,Direcciones,dirId,Se almacena el identificador de cada dirección,Entero Autoincrementable Llave primaria,calleDir,Se almacena la calle del domicilio de la persona que se esta registrando|,Cadena de caracteres alfanuméricos de un tamaño de 35 caracteres como máximo,numExtDir,Se almacena el número exterior del domicilio de la persona registrada,Cadena de caracteres alfanumérica de máximo 10 caracteres,numExtDir,"Se almacena el número interior, si lo hay, del domicilio de la persona registrada, este dato puede ser NULL",Cadena de caracteres alfanumérica de máximo 10 caracteres,codpostDir,Se almacena el código postal con el que se  identifica una localidad,Entero Llave foránea de Localidades,personId,"Se almacena el identificador de la persona da la que le corresponde la dirección, una persona puede tener varias direciones",Entero Llave foránea de Personas,createDate,Almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,
9,Entidad,Relación entre entidades,1,,,,,,,Localidades,locId,Se almacena el identificador del registro de localidad,Entero Autoincrementable Llave primaria,locName,Se almacena el nombre de la colonia,Cadena de caracteres alfanuméricos de un tamaño máximo de 50 caracteres,locMun,Se almacena el municipio de la localidad,Cadena de caracteres alfanumericos de un tamaño máximo de 10 caracteres,locEdo,Se almacena el estado del municipio,Cadena de caracteres alfanuméricos de máximo 50 caracteres,codPost,Almacena el código postal de la colonia,Cadena de caracteres numéricos [000000-999999],createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,,,,,,,
10,Entidad,Relación entre entidades,1,,,,,,,Aspirantes,aspId,Se almacena el identificador del registro del aspirante,Entero Autoincrementable Llave primaria,folioMat,"Se almacena el folio de la persona que pretende ingresar a la universidad, en el caco se un trabajadorse genera con el CURP (8 primeros caracteres) de la persona y el id de la persona, en caso de ser como alumno se generará ma matricula de acuerdo a los lineamientos de CENEVAL",Cadena de caracteres de un máximo de 10 caracteres,fechaRegistro,Se almacena la fecha en que se registró la persona,Fecha,periodoId,Se almacena el periodo en el que se generó el aspirante,Entero Llave foránea de Periodos,tipoAsp,"Se almacena el tipo de aspirante, si es alumno o trabajador",Cadena de caracteres alfanuméricos de máximo 10 caracteres,personId,Es el campo que se relaciona con la tabla personas,Entero Llave foránea de Personas,carreraId,"se almacena la carrera que elige el alumno, en caso de no ser aspirante a alguna carrera, este campo podra ser NULO",Entero Llave foránea de Carreras,createDate,Se almacena la fecha de creación del registro,Fecha y hora,,,,,,,,,,,,,,,,,,
